"filename", "language", "JSON", "Ini", "JavaScript", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\Group 121PERFORMANCE.svg", "XML", 0, 0, 0, 16, 0, 0, 0, 1, 17
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\Group 123PERFORMANCE.svg", "XML", 0, 0, 0, 38, 0, 0, 0, 1, 39
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\Group 124PERFORMANCE.svg", "XML", 0, 0, 0, 24, 0, 0, 0, 1, 25
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\Group 125PERFORMANCE.svg", "XML", 0, 0, 0, 35, 0, 0, 0, 1, 36
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\Group 126PERFORMANCE.svg", "XML", 0, 0, 0, 40, 0, 0, 0, 1, 41
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\Group 127PERFORMANCE.svg", "XML", 0, 0, 0, 31, 0, 0, 0, 1, 32
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\Group 128PERFORMANCE.svg", "XML", 0, 0, 0, 106, 0, 0, 0, 1, 107
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\Group 198inventory.svg", "XML", 0, 0, 0, 15, 0, 0, 0, 1, 16
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\Group 199inventory.svg", "XML", 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\Group 19inventory.svg", "XML", 0, 0, 0, 15, 0, 0, 0, 1, 16
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\Group 219PERFORMANCE.svg", "XML", 0, 0, 0, 24, 0, 0, 0, 1, 25
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\Group 220PERFORMANCE.svg", "XML", 0, 0, 0, 32, 0, 0, 0, 1, 33
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\Group 221PERFORMANCE.svg", "XML", 0, 0, 0, 27, 0, 0, 0, 1, 28
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\Group 222PERFORMANCE.svg", "XML", 0, 0, 0, 42, 0, 0, 0, 1, 43
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\Group 223PERFORMANCE.svg", "XML", 0, 0, 0, 30, 0, 0, 0, 1, 31
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\Group 251inventory.svg", "XML", 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\Group 252inventory.svg", "XML", 0, 0, 0, 15, 0, 0, 0, 1, 16
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\Group 253inventory.svg", "XML", 0, 0, 0, 15, 0, 0, 0, 1, 16
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\ecuadblue.svg", "XML", 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\ecuantilag.svg", "XML", 0, 0, 0, 41, 0, 0, 0, 1, 42
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\ecudpf.svg", "XML", 0, 0, 0, 36, 0, 0, 0, 1, 37
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\ecudsg.svg", "XML", 0, 0, 0, 24, 0, 0, 0, 1, 25
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\ecueco.svg", "XML", 0, 0, 0, 32, 0, 0, 0, 1, 33
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\ecuegr.svg", "XML", 0, 0, 0, 30, 0, 0, 0, 1, 31
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\ecuexhaust.svg", "XML", 0, 0, 0, 37, 0, 0, 0, 1, 38
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\ecuintake.svg", "XML", 0, 0, 0, 118, 0, 0, 0, 1, 119
